source	target
PTK2	CXCR4
PTK2	ITGA4
PTK2	ITGB1
PTK2	CXCL12
PTK2	GRB2
PTK2	JAK2
PTK2	SYK
PTK2	SRC
PTK2	NRAS
PTK2	FCER1A
PTK2	RAC1
PTK2	FN1
PTK2	FYN
PTK2	GNAI1
IGF1	VEGFA
IGF1	AKT1
IGF1	PIK3R1
IGF1	SERPINA1
IGF1	HRAS
IGF1	ESR1
IGF1	SHC1
IGF1	SOS1
IGF1	INS
IGF1	PRKCD
IGF1	GRB2
IGF1	SRC
IGF1	TGFB2
IGF1	FN1
IGF1	PDGFA
IGF1	CTNNB1
IGF1	PTPN11
IGF1	PDGFB
IGF1	MMP1
IGF1	LEP
IGF1	PLG
IGF1	F2
IGF1	INSR
INSR	AKT1
INSR	PIK3R1
INSR	HRAS
INSR	SHC1
INSR	SOS1
INSR	INS
INSR	GRB2
INSR	AKT2
INSR	PTPN11
INSR	SOCS3
CCR1	CCL4
CCR1	GNB1
CCR1	CCL3
CCR1	CCL5
CCR1	CCR3
CCR1	CXCL2
CCR1	IL10
CCR1	CXCR4
CCR1	SAA1
CCR1	POMC
CCR1	CXCL12
CCR1	CXCL1
CCR1	CCL8
CCR1	CCL7
CCR1	ANXA1
CCR1	CXCR3
CCR1	AGT
CCR1	CCL20
CCR1	PTGER3
CCR1	GNAI1
CCR1	GNG2
CCR1	PTGDR2
CCR1	CCR4
CCR1	CXCL8
CCR1	CXCL10
APOB	LDLR
APOB	ITGAM
APOB	UBC
APOB	SERPINA1
APOB	C4A
APOB	TLR6
APOB	UBA52
APOB	TF
APOB	IL6
APOB	SAA1
APOB	ITGB2
APOB	INS
APOB	SPP1
APOB	TLR4
APOB	FN1
APOB	PTPN11
APOB	CSF1
APOB	UBB
APOB	HSP90B1
APOB	ALB
APOB	APP
APOB	EGFR
APOB	PLA2G7
APOB	RPS27A
APOB	EGF
APOB	KNG1
APOB	LRP2
APOB	APOE
APOB	C3
APOB	APOA1
APOE	LDLR
APOE	SERPINA1
APOE	C4A
APOE	TF
APOE	IL6
APOE	SPP1
APOE	ABCA1
APOE	FN1
APOE	CSF1
APOE	HSP90B1
APOE	ALB
APOE	APP
APOE	KNG1
APOE	LRP2
CD14	IKBKG
CD14	PLCG2
CD14	BIRC2
CD14	IRF3
CD14	TRAF3
CD14	ITGAM
CD14	UBC
CD14	TRAF6
CD14	IKBKB
CD14	TICAM2
CD14	MYD88
CD14	SFTPA1
CD14	TLR6
CD14	UBA52
CD14	ITGB2
CD14	ITGA4
CD14	ITGB1
CD14	TIRAP
CD14	HSPD1
CD14	TAB3
CD14	TLR4
CD14	CHUK
CD14	IRAK1
CD14	MAP3K7
CD14	TAB2
CD14	TLR1
CD14	CASP8
CD14	PTPN11
CD14	UBE2V1
CD14	UBE2N
CD14	TOLLIP
CD14	UBB
PIK3R1	PLCG2
PIK3R1	GNB1
PIK3R1	FGF1
PIK3R1	VEGFA
PIK3R1	VAV1
PIK3R1	IL12RB1
PIK3R1	AKT1
PIK3R1	HCK
PIK3R1	TRAF6
PIK3R1	TYK2
PIK3R2	PLCG2
PIK3R2	GNB1
PIK3R2	FGF1
PIK3R2	VAV1
PIK3R2	AKT1
PIK3R2	HCK
PIK3R2	TRAF6
PIK3R2	PIK3R1
PIK3R2	ESR1
