source	target
OXT	AGTR1
OXT	SAA1
OXT	LTB4R
OXT	CCK
OXT	EDN1
OXT	ANXA1
OXT	AGT
OXT	GNG2
OXT	F2R
OXT	TAC1
OXT	F2
OXT	F2RL1
OXT	APP
OXT	KNG1
OXT	PIK3CA
MTR	MTHFR
MTR	MAT1A
MTR	CTH
TNFAIP3	IKBKG
SLC40A1	HAMP
SLC40A1	SLC11A2
TNFAIP6	CST3
TNFAIP6	CXCL1
TNFAIP6	MMP9
TNFAIP6	HBB
TNFAIP6	FTH1
TNFAIP6	TIMP2
TNFAIP6	TCN1
CXCL8	CCL4
CXCL8	GNB1
CXCL8	VEGFA
CXCL8	CCL5
CXCL8	BDKRB2
CXCL8	CXCL2
CXCL8	AGTR1
CXCL8	IL10
CXCL8	TNF
CXCL8	IL6
CXCL8	SAA1
CXCL8	RELA
CXCL8	POMC
CXCL8	CXCL1
CXCL8	ANXA1
CXCL8	CNR2
CXCL8	TLR4
CXCL8	CXCR3
CXCL8	MMP9
CXCL8	AGTR2
CXCL8	JUN
CXCL8	PTGS2
CXCL8	AGT
CXCL8	CCL20
CXCL8	GNG2
CXCL8	MAPK11
UCN	CRHR2
NFKBIB	IKBKG
NFKBIB	UBC
NFKBIB	TRAF6
NFKBIB	IKBKB
NFKBIB	MAVS
NFKBIB	UBA52
NFKBIB	RELA
NFKBIB	MAP3K1
NFKBIB	DDX58
NFKBIB	ZBP1
NFKBIB	CHUK
NFKBIB	NFKB2
NFKBIB	MAP3K7
NFKBIB	RNF135
NFKBIB	TRIM25
FGFR2	FGF1
FGFR2	PIK3R1
TAB1	IKBKG
TAB1	MAP3K14
TAB1	TNFAIP3
TAB1	BIRC2
TAB1	MAP2K6
TAB1	UBC
TAB1	TRAF6
TAB1	IKBKB
TAB1	TICAM2
TAB1	MYD88
TAB1	TNF
TAB1	UBA52
TAB1	IL1R1
TAB1	RELA
TAB1	MAP3K1
TAB1	TAB3
TAB1	TLR4
TAB1	XIAP
TAB1	CHUK
TAB1	IRAK1
TAB1	MAP3K7
TAB1	TAB2
TAB1	TGFB2
TAB1	MAP2K3
TAB1	UBE2V1
TAB1	MAPK11
TAB1	UBE2N
TAB1	UBB
TAB1	CD14
TAB1	MAP2K1
TAB1	NOD2
TAB1	TLR3
TAB1	RPS27A
TAB1	BIRC3
TAB1	IL1A
TAB1	RIPK1
TAB1	IRAK2
TAB1	TRAF2
TAB1	BMP4
TAB1	TGFB3
TAB1	MAPK14
TAB1	NFKB1
